name,va,file_offset
go:buildid,0x140001000,1536
internal/cpu.Initialize,0x140001080,1664
internal/cpu.processOptions,0x1400010e0,1760
internal/cpu.doinit,0x1400015e0,3040
internal/cpu.doinit.func1,0x1400020c0,5824
internal/cpu.cpuid,0x140002100,5888
internal/cpu.xgetbv,0x140002120,5920
internal/cpu.getGOAMD64level,0x140002140,5952
type:.eq.internal/cpu.option,0x140002160,5984
type:.eq.[8]internal/cpu.option,0x1400021e0,6112
internal/bytealg.countGeneric,0x140002440,6720
internal/bytealg.countGenericString,0x140002480,6784
internal/bytealg.init.0,0x1400024c0,6848
cmpbody,0x140002500,6912
internal/bytealg.Compare,0x140002740,7488
runtime.cmpstring,0x140002760,7520
countbody,0x140002780,7552
internal/bytealg.Count,0x140002960,8032
internal/bytealg.CountString,0x1400029a0,8096
memeqbody,0x1400029e0,8160
runtime.memequal,0x140002b40,8512
runtime.memequal_varlen,0x140002b60,8544
indexbody,0x140002b80,8576
internal/bytealg.Index,0x140002ea0,9376
internal/bytealg.IndexString,0x140002ee0,9440
indexbytebody,0x140002f20,9504
internal/bytealg.IndexByte,0x140003060,9824
internal/bytealg.IndexByteString,0x140003080,9856
internal/bytealg.countGeneric,0x1400030a0,9888
internal/bytealg.countGenericString,0x1400030e0,9952
internal/abi.(*RegArgs).Dump,0x140003120,10016
internal/abi.(*RegArgs).IntRegArgAddr,0x1400033c0,10688
internal/abi.(*IntArgRegBitmap).Set,0x140003440,10816
internal/abi.(*IntArgRegBitmap).Get,0x1400034a0,10912
internal/abi.BoundsDecode,0x1400034e0,10976
internal/abi.NoEscape,0x1400035c0,11200
internal/abi.(*MapType).NeedKeyUpdate,0x1400035e0,11232
internal/abi.(*MapType).HashMightPanic,0x140003600,11264
internal/abi.(*MapType).IndirectKey,0x140003620,11296
internal/abi.(*MapType).IndirectElem,0x140003640,11328
internal/abi.Kind.String,0x140003660,11360
internal/abi.TypeOf,0x1400036a0,11424
internal/abi.(*Type).Kind,0x1400036c0,11456
internal/abi.(*Type).HasName,0x1400036e0,11488
internal/abi.(*Type).Pointers,0x140003700,11520
internal/abi.(*Type).IsDirectIface,0x140003720,11552
internal/abi.(*Type).GcSlice,0x140003740,11584
internal/abi.(*UncommonType).Methods,0x140003800,11776
internal/abi.(*UncommonType).ExportedMethods,0x140003820,11808
internal/abi.(*Type).Len,0x140003840,11840
internal/abi.(*Type).Common,0x140003860,11872
internal/abi.(*Type).ChanDir,0x140003880,11904
internal/abi.(*Type).Uncommon,0x1400038a0,11936
internal/abi.(*Type).Elem,0x140003900,12032
internal/abi.(*Type).StructType,0x140003960,12128
internal/abi.(*Type).MapType,0x140003980,12160
internal/abi.(*Type).ArrayType,0x1400039a0,12192
internal/abi.(*Type).FuncType,0x1400039c0,12224
internal/abi.(*Type).InterfaceType,0x1400039e0,12256
internal/abi.(*Type).Size,0x140003a00,12288
internal/abi.(*Type).Align,0x140003a20,12320
internal/abi.(*Type).FieldAlign,0x140003a40,12352
internal/abi.(*Type).ExportedMethods,0x140003a60,12384
internal/abi.(*Type).NumMethod,0x140003b00,12544
internal/abi.(*InterfaceType).NumMethod,0x140003b40,12608
internal/abi.(*Type).Key,0x140003b60,12640
internal/abi.(*FuncType).In,0x140003b80,12672
internal/abi.(*FuncType).NumIn,0x140003bc0,12736
internal/abi.(*FuncType).NumOut,0x140003be0,12768
internal/abi.(*FuncType).Out,0x140003c00,12800
internal/abi.(*FuncType).InSlice,0x140003c80,12928
internal/abi.(*FuncType).OutSlice,0x140003cc0,12992
internal/abi.(*FuncType).IsVariadic,0x140003d40,13120
internal/abi.(*StructField).Embedded,0x140003d60,13152
internal/abi.Name.DataChecked,0x140003d80,13184
internal/abi.Name.Data,0x140003da0,13216
internal/abi.Name.IsExported,0x140003dc0,13248
internal/abi.Name.HasTag,0x140003de0,13280
internal/abi.Name.IsEmbedded,0x140003e00,13312
internal/abi.Name.ReadVarint,0x140003e20,13344
internal/abi.Name.IsBlank,0x140003e80,13440
internal/abi.Name.Name,0x140003f00,13568
internal/abi.Name.Tag,0x140003fa0,13728
internal/abi.NewName,0x1400040a0,13984
internal/abi.(*Kind).String,0x140004500,15104
internal/abi.(*Name).Data,0x140004560,15200
internal/abi.(*Name).DataChecked,0x140004580,15232
internal/abi.(*Name).HasTag,0x1400045a0,15264
internal/abi.(*Name).IsBlank,0x1400045c0,15296
internal/abi.(*Name).IsEmbedded,0x140004600,15360
internal/abi.(*Name).IsExported,0x140004620,15392
internal/abi.(*Name).Name,0x140004640,15424
internal/abi.(*Name).ReadVarint,0x140004680,15488
internal/abi.(*Name).Tag,0x140004700,15616
internal/abi.(*StructType).Align,0x140004740,15680
internal/abi.(*StructType).ArrayType,0x140004760,15712
internal/abi.(*StructType).ChanDir,0x140004780,15744
internal/abi.(*StructType).Common,0x1400047a0,15776
internal/abi.(*StructType).Elem,0x1400047c0,15808
internal/abi.(*StructType).ExportedMethods,0x140004820,15904
internal/abi.(*StructType).FieldAlign,0x140004840,15936
internal/abi.(*StructType).FuncType,0x140004860,15968
